0.0,0.0,14.0,18.0,21.0,2.0,4.0,40.0,1.0,0.0
2.0,7.0,0.0,12.0,15.0,21.0,3.0,39.0,1.0,0.0
3.0,4.0,1.0,1.0,20.0,21.0,2.0,39.0,8.0,1.0
7.0,1.0,3.0,18.0,3.0,2.0,25.0,40.0,1.0,0.0
2.0,10.0,0.0,18.0,2.0,2.0,24.0,40.0,2.0,0.0
5.0,7.0,10.0,0.0,2.0,19.0,2.0,41.0,14.0,0.0
0.0,0.0,0.0,14.0,15.0,16.0,1.0,37.0,14.0,3.0
0.0,9.0,0.0,15.0,1.0,22.0,2.0,39.0,10.0,2.0
5.0,1.0,7.0,0.0,17.0,21.0,2.0,39.0,8.0,0.0
3.0,4.0,9.0,13.0,2.0,20.0,39.0,1.0,9.0,0.0
4.0,4.0,11.0,15.0,16.0,2.0,37.0,0.0,11.0,0.0
4.0,4.0,8.0,13.0,15.0,2.0,39.0,0.0,13.0,2.0
2.0,9.0,0.0,2.0,1.0,29.0,2.0,38.0,16.0,1.0
1.0,7.0,9.0,2.0,18.0,20.0,2.0,39.0,2.0,0.0
0.0,0.0,2.0,15.0,18.0,3.0,2.0,39.0,21.0,0.0
3.0,6.0,1.0,0.0,20.0,20.0,2.0,40.0,8.0,0.0
0.0,11.0,13.0,1.0,2.0,1.0,23.0,39.0,9.0,1.0
5.0,8.0,11.0,15.0,2.0,2.0,38.0,1.0,17.0,1.0
0.0,11.0,0.0,17.0,1.0,24.0,4.0,40.0,3.0,0.0
5.0,4.0,9.0,13.0,15.0,2.0,38.0,0.0,13.0,1.0
0.0,9.0,12.0,15.0,1.0,1.0,1.0,40.0,21.0,0.0
1.0,4.0,0.0,1.0,2.0,20.0,23.0,39.0,9.0,1.0
0.0,0.0,14.0,18.0,20.0,1.0,4.0,40.0,2.0,1.0
0.0,0.0,16.0,16.0,2.0,21.0,3.0,40.0,2.0,0.0
3.0,10.0,0.0,2.0,2.0,19.0,2.0,39.0,23.0,0.0
6.0,9.0,0.0,17.0,21.0,3.0,4.0,40.0,0.0,0.0
5.0,8.0,12.0,14.0,3.0,2.0,39.0,0.0,15.0,2.0
0.0,10.0,14.0,0.0,4.0,3.0,25.0,40.0,4.0,0.0
0.0,0.0,13.0,18.0,22.0,3.0,3.0,40.0,1.0,0.0
4.0,4.0,9.0,13.0,16.0,2.0,39.0,0.0,13.0,0.0
6.0,2.0,1.0,17.0,3.0,3.0,25.0,40.0,2.0,1.0
3.0,1.0,11.0,16.0,15.0,2.0,35.0,6.0,10.0,1.0
